,Timestamps,AWS/EC2 NetworkIn,AWS/EC2 NetworkOut,System/Linux MemoryUtilization,AWS/EC2 CPUUtilization
0,1372629804,6.6,170.46666666666667,1797956.2666666666,4.466666666666667
1,1372630104,3.1333333333333333,79.46666666666667,1672127.4666666666,2.2666666666666666
2,1372630404,3.933333333333333,91.06666666666666,1769994.666666667,4.0
3,1372630704,6.333333333333332,170.26666666666668,1694497.866666667,3.8
4,1372631004,8.333333333333334,170.26666666666668,1708477.866666667,4.033333333333333
5,1372631304,7.6,170.4,1702885.6,3.9
6,1372631604,4.2,170.4,1728052.2666666666,3.866666666666666
7,1372631904,5.333333333333333,170.2,1719661.866666667,3.9
8,1372632204,3.933333333333333,94.6,1879045.6,2.3
9,1372632504,2.2,76.2,1845491.2,3.933333333333333
10,1372632804,5.8,170.26666666666668,1736440.0,4.0
11,1372633104,3.466666666666667,170.26666666666668,1652554.4,4.0
12,1372633404,8.666666666666666,172.26666666666668,1929379.2,6.6
13,1372633704,0.6666666666666666,10.333333333333334,2139092.8,3.4
14,1372634004,5.0,67.4,1367340.8,4.8
15,1372634304,4.933333333333334,92.73333333333332,1501558.4,6.0
16,1372634604,7.866666666666666,170.33333333333334,1736439.2,6.633333333333334
17,1372634903,5.333333333333333,170.2,2147480.8,5.233333333333333
18,1372635203,7.933333333333334,170.2,2298476.8,6.966666666666666
19,1372635503,4.4,170.46666666666667,2399140.533333333,4.666666666666667
20,1372635803,5.4,170.6,1957339.4666666663,4.533333333333333
21,1372636103,6.333333333333332,170.93333333333334,1736439.4666666666,4.033333333333333
22,1372636403,4.6,170.33333333333334,1702885.333333333,4.066666666666666
23,1372636703,7.733333333333332,170.33333333333334,1797955.7333333334,4.0
24,1372637004,11.066666666666665,170.4,1744828.5333333334,7.3
25,1372637304,10.066666666666666,170.2,2407528.8,15.266666666666667
26,1372637604,11.666666666666664,170.73333333333332,2415917.333333333,11.7
27,1372637904,10.466666666666667,170.66666666666666,2561320.266666666,16.5
28,1372638204,2.466666666666667,38.66666666666666,2460656.8,12.966666666666667
29,1372638504,8.8,131.8,2298476.0,6.533333333333334
30,1372638804,7.8,170.46666666666667,1971320.5333333327,4.3
31,1372639104,8.4,170.2,1708476.8,4.2
32,1372639404,9.266666666666667,170.6,1652553.6,4.133333333333333
33,1372639704,8.866666666666667,170.4,1985302.133333333,4.0
